Date,Close
2020-02-13,6.800000190734863
2020-02-14,6.150000095367432
2020-02-17,6.0
2020-02-18,5.900000095367432
2020-02-19,6.0
2020-02-20,5.949999809265137
2020-02-24,5.800000190734863
2020-02-25,5.75
2020-02-26,5.599999904632568
2020-02-27,5.449999809265137
2020-02-28,5.300000190734863
2020-03-02,5.300000190734863
2020-03-03,5.449999809265137
2020-03-04,5.300000190734863
2020-03-05,5.400000095367432
2020-03-06,5.099999904632568
2020-03-09,4.75
2020-03-11,4.800000190734863
2020-03-12,4.050000190734863
2020-03-13,4.0
2020-03-16,3.8499999046325684
2020-03-17,3.9000000953674316
2020-03-18,3.700000047683716
2020-03-19,3.450000047683716
2020-03-20,3.5
2020-03-23,3.450000047683716
2020-03-24,3.450000047683716
2020-03-25,3.700000047683716
2020-03-26,3.8499999046325684
2020-03-27,4.050000190734863
2020-03-30,3.950000047683716
2020-03-31,4.050000190734863
2020-04-01,3.950000047683716
2020-04-03,3.950000047683716
2020-04-07,4.0
2020-04-08,4.099999904632568
2020-04-09,4.150000095367432
2020-04-13,4.099999904632568
2020-04-15,4.050000190734863
2020-04-16,4.099999904632568
2020-04-17,4.199999809265137
2020-04-20,4.349999904632568
2020-04-21,4.099999904632568
2020-04-22,4.150000095367432
2020-04-23,4.199999809265137
2020-04-24,4.050000190734863
2020-04-27,4.0
2020-04-28,4.0
2020-04-29,4.0
2020-04-30,4.050000190734863
2020-05-04,3.950000047683716
2020-05-05,4.0
2020-05-06,4.0
2020-05-07,4.0
2020-05-08,3.950000047683716
2020-05-11,3.9000000953674316
2020-05-12,3.8499999046325684
2020-05-13,4.25
2020-05-14,4.199999809265137
2020-05-15,4.199999809265137
2020-05-18,4.099999904632568
2020-05-19,4.050000190734863
2020-05-20,4.050000190734863
2020-05-21,4.0
2020-05-22,4.0
2020-05-26,4.0
2020-05-27,4.050000190734863
2020-05-28,4.050000190734863
2020-05-29,4.75
2020-06-01,5.699999809265137
2020-06-02,6.800000190734863
2020-06-03,7.449999809265137
2020-06-04,7.150000095367432
2020-06-05,7.150000095367432
2020-06-08,7.25
2020-06-09,6.949999809265137
2020-06-10,6.949999809265137
2020-06-11,6.75
2020-06-12,6.699999809265137
2020-06-15,6.900000095367432
2020-06-16,6.650000095367432
2020-06-17,6.650000095367432
2020-06-18,6.849999904632568
2020-06-19,6.849999904632568
2020-06-22,7.5
2020-06-23,7.400000095367432
2020-06-24,7.699999809265137
2020-06-25,7.650000095367432
2020-06-26,8.399999618530273
2020-06-29,7.699999809265137
2020-06-30,7.5
2020-07-01,7.199999809265137
2020-07-02,7.900000095367432
2020-07-03,7.699999809265137
2020-07-06,7.5
2020-07-07,7.349999904632568
2020-07-08,7.449999809265137
2020-07-09,7.550000190734863
2020-07-10,7.300000190734863
2020-07-13,7.050000190734863
2020-07-14,6.849999904632568
2020-07-15,6.699999809265137
2020-07-16,6.400000095367432
2020-07-17,6.75
2020-07-20,6.849999904632568
2020-07-21,6.800000190734863
2020-07-22,6.699999809265137
2020-07-23,6.699999809265137
2020-07-24,6.550000190734863
2020-07-27,6.349999904632568
2020-07-28,6.25
2020-07-29,6.349999904632568
2020-07-30,6.300000190734863
2020-07-31,6.199999809265137
2020-08-03,6.099999904632568
2020-08-04,6.099999904632568
2020-08-05,6.25
2020-08-06,6.199999809265137
2020-08-07,6.550000190734863
2020-08-10,6.449999809265137
2020-08-11,6.550000190734863
2020-08-12,7.650000095367432
2020-08-13,7.449999809265137
2020-08-14,7.099999904632568
2020-08-17,7.099999904632568
2020-08-18,7.150000095367432
2020-08-19,7.349999904632568
2020-08-20,7.449999809265137
2020-08-21,7.349999904632568
2020-08-24,7.349999904632568
2020-08-25,7.349999904632568
2020-08-26,7.25
2020-08-27,7.25
2020-08-28,7.199999809265137
2020-08-31,6.900000095367432
2020-09-01,6.849999904632568
2020-09-02,6.849999904632568
2020-09-03,6.800000190734863
2020-09-04,7.050000190734863
2020-09-07,7.099999904632568
2020-09-08,6.949999809265137
2020-09-09,6.849999904632568
2020-09-10,6.849999904632568
2020-09-11,6.800000190734863
2020-09-14,6.849999904632568
2020-09-15,6.900000095367432
2020-09-16,6.75
2020-09-17,6.699999809265137
2020-09-18,6.550000190734863
2020-09-21,6.25
2020-09-22,6.0
2020-09-23,5.900000095367432
2020-09-24,5.75
2020-09-25,6.0
2020-09-28,6.150000095367432
2020-09-29,6.050000190734863
2020-09-30,6.0
2020-10-01,6.0
2020-10-05,6.050000190734863
2020-10-06,6.0
2020-10-07,5.900000095367432
2020-10-08,5.849999904632568
2020-10-09,5.849999904632568
2020-10-12,5.800000190734863
2020-10-13,5.800000190734863
2020-10-14,5.800000190734863
2020-10-15,5.699999809265137
2020-10-16,5.699999809265137
2020-10-19,5.800000190734863
2020-10-20,5.75
2020-10-21,5.849999904632568
2020-10-22,6.050000190734863
2020-10-23,6.199999809265137
2020-10-26,6.099999904632568
2020-10-27,6.099999904632568
2020-10-28,5.949999809265137
2020-10-29,5.800000190734863
2020-10-30,5.800000190734863
2020-11-02,5.800000190734863
2020-11-03,5.800000190734863
2020-11-04,5.75
2020-11-05,5.849999904632568
2020-11-06,5.800000190734863
2020-11-09,6.0
2020-11-10,6.050000190734863
2020-11-11,6.050000190734863
2020-11-12,6.0
2020-11-13,6.050000190734863
2020-11-14,6.099999904632568
2020-11-17,6.050000190734863
2020-11-18,6.0
2020-11-19,6.050000190734863
2020-11-20,6.150000095367432
2020-11-23,6.400000095367432
2020-11-24,6.349999904632568
2020-11-25,6.25
2020-11-26,6.349999904632568
2020-11-27,6.400000095367432
2020-12-01,6.650000095367432
2020-12-02,6.849999904632568
2020-12-03,7.599999904632568
2020-12-04,7.25
2020-12-07,8.699999809265137
2020-12-08,8.050000190734863
2020-12-09,9.350000381469727
2020-12-10,10.850000381469727
2020-12-11,10.600000381469727
2020-12-14,10.25
2020-12-15,9.699999809265137
2020-12-16,9.75
2020-12-17,9.350000381469727
2020-12-18,8.949999809265137
2020-12-21,8.899999618530273
2020-12-22,8.75
2020-12-23,9.300000190734863
2020-12-24,9.25
2020-12-28,9.199999809265137
2020-12-29,9.399999618530273
2020-12-30,9.149999618530273
2020-12-31,9.149999618530273
2021-01-01,9.399999618530273
2021-01-04,9.449999809265137
2021-01-05,9.399999618530273
2021-01-06,9.449999809265137
2021-01-07,9.550000190734863
2021-01-08,10.199999809265137
2021-01-11,10.149999618530273
2021-01-12,9.949999809265137
2021-01-13,9.850000381469727
2021-01-14,9.699999809265137
2021-01-15,9.449999809265137
2021-01-18,9.25
2021-01-19,9.350000381469727
2021-01-20,9.350000381469727
2021-01-21,9.100000381469727
2021-01-22,8.949999809265137
2021-01-25,8.699999809265137
2021-01-27,9.0
2021-01-28,8.899999618530273
2021-01-29,8.800000190734863
2021-02-01,9.050000190734863
2021-02-02,8.899999618530273
2021-02-03,8.949999809265137
2021-02-04,9.0
2021-02-05,9.100000381469727
2021-02-08,9.149999618530273
2021-02-09,9.0
2021-02-10,9.0
2021-02-11,9.0
2021-02-12,9.0
2021-02-15,8.5
2021-02-16,8.449999809265137
2021-02-17,9.149999618530273
2021-02-18,9.25
2021-02-19,9.0
2021-02-22,8.75
2021-02-23,8.800000190734863
2021-02-24,8.850000381469727
2021-02-25,9.050000190734863
2021-02-26,8.899999618530273
2021-03-01,9.5
2021-03-02,10.699999809265137
2021-03-03,12.800000190734863
2021-03-04,11.899999618530273
2021-03-05,11.850000381469727
2021-03-08,11.850000381469727
2021-03-09,13.0
2021-03-10,14.300000190734863
2021-03-12,15.5
2021-03-15,15.0
2021-03-16,14.25
2021-03-17,13.550000190734863
2021-03-18,12.899999618530273
2021-03-19,12.350000381469727
2021-03-22,12.949999809265137
2021-03-23,13.550000190734863
2021-03-24,13.300000190734863
2021-03-25,12.649999618530273
2021-03-26,12.699999809265137
2021-03-30,12.25
2021-03-31,12.0
2021-04-01,12.600000381469727
2021-04-05,12.0
2021-04-06,11.800000190734863
2021-04-07,11.850000381469727
2021-04-08,11.649999618530273
2021-04-09,11.699999809265137
2021-04-12,11.149999618530273
2021-04-13,10.800000190734863
2021-04-15,11.300000190734863
2021-04-16,11.300000190734863
2021-04-19,10.75
2021-04-20,10.449999809265137
2021-04-22,10.399999618530273
2021-04-23,10.899999618530273
2021-04-26,11.050000190734863
2021-04-27,11.199999809265137
2021-04-28,11.149999618530273
2021-04-29,11.050000190734863
2021-04-30,10.899999618530273
2021-05-03,10.850000381469727
2021-05-04,10.949999809265137
2021-05-05,10.949999809265137
2021-05-06,10.949999809265137
2021-05-07,10.699999809265137
2021-05-10,10.550000190734863
2021-05-11,11.050000190734863
2021-05-12,11.550000190734863
2021-05-14,11.350000381469727
2021-05-17,11.399999618530273
2021-05-18,11.300000190734863
2021-05-19,11.100000381469727
2021-05-20,11.149999618530273
2021-05-21,11.25
2021-05-24,11.800000190734863
2021-05-25,11.699999809265137
2021-05-26,12.25
2021-05-27,12.0
2021-05-28,11.800000190734863
2021-05-31,12.350000381469727
2021-06-01,11.949999809265137
2021-06-02,12.449999809265137
2021-06-03,13.050000190734863
2021-06-04,12.850000381469727
2021-06-07,14.100000381469727
2021-06-08,13.699999809265137
2021-06-09,13.300000190734863
2021-06-10,13.800000190734863
2021-06-11,13.699999809265137
2021-06-14,13.350000381469727
2021-06-15,13.449999809265137
2021-06-16,13.149999618530273
2021-06-17,13.350000381469727
2021-06-18,13.25
2021-06-21,13.399999618530273
2021-06-22,14.699999809265137
2021-06-23,16.0
2021-06-24,15.199999809265137
2021-06-25,14.75
2021-06-28,14.899999618530273
2021-06-29,14.050000190734863
2021-06-30,13.949999809265137
2021-07-01,13.800000190734863
2021-07-02,13.800000190734863
2021-07-05,15.149999618530273
2021-07-06,14.399999618530273
2021-07-07,14.550000190734863
2021-07-08,14.449999809265137
2021-07-09,14.649999618530273
2021-07-12,14.449999809265137
2021-07-13,14.350000381469727
2021-07-14,14.199999809265137
2021-07-15,13.899999618530273
2021-07-16,14.149999618530273
2021-07-19,13.800000190734863
2021-07-20,14.899999618530273
2021-07-22,14.699999809265137
2021-07-23,14.300000190734863
2021-07-26,13.949999809265137
2021-07-27,13.949999809265137
2021-07-28,13.800000190734863
2021-07-29,13.899999618530273
2021-07-30,14.399999618530273
2021-08-02,14.600000381469727
2021-08-03,14.199999809265137
2021-08-04,13.800000190734863
2021-08-05,13.449999809265137
2021-08-06,13.600000381469727
2021-08-09,13.449999809265137
2021-08-10,12.899999618530273
2021-08-11,12.399999618530273
2021-08-12,12.800000190734863
2021-08-13,12.449999809265137
2021-08-16,12.050000190734863
2021-08-17,11.699999809265137
2021-08-18,11.5
2021-08-20,11.100000381469727
2021-08-23,10.649999618530273
2021-08-24,11.399999618530273
2021-08-25,11.600000381469727
2021-08-26,11.25
2021-08-27,11.25
2021-08-30,11.899999618530273
2021-08-31,11.5
2021-09-01,11.399999618530273
2021-09-02,11.399999618530273
2021-09-03,11.5
2021-09-06,11.25
2021-09-07,11.149999618530273
2021-09-08,11.300000190734863
2021-09-09,11.300000190734863
2021-09-13,11.300000190734863
2021-09-14,11.399999618530273
2021-09-15,11.699999809265137
2021-09-16,11.949999809265137
2021-09-17,12.75
2021-09-20,12.199999809265137
2021-09-21,12.199999809265137
2021-09-22,12.050000190734863
2021-09-23,11.899999618530273
2021-09-24,12.0
2021-09-27,12.649999618530273
2021-09-28,13.600000381469727
2021-09-29,13.300000190734863
2021-09-30,13.449999809265137
2021-10-01,13.050000190734863
2021-10-04,13.600000381469727
2021-10-05,13.5
2021-10-06,13.0
2021-10-07,12.949999809265137
2021-10-08,13.149999618530273
2021-10-11,13.25
2021-10-12,14.649999618530273
2021-10-13,14.050000190734863
2021-10-14,13.899999618530273
2021-10-18,14.100000381469727
2021-10-19,13.399999618530273
2021-10-20,12.899999618530273
2021-10-21,12.899999618530273
2021-10-22,12.75
2021-10-25,12.449999809265137
2021-10-26,12.649999618530273
2021-10-27,12.550000190734863
2021-10-28,12.25
2021-10-29,12.199999809265137
2021-11-01,12.25
2021-11-02,12.5
2021-11-03,11.899999618530273
2021-11-04,12.25
2021-11-08,12.350000381469727
2021-11-09,12.300000190734863
2021-11-10,12.449999809265137
2021-11-11,12.25
2021-11-12,12.199999809265137
2021-11-15,13.0
2021-11-16,13.0
2021-11-17,12.800000190734863
2021-11-18,12.800000190734863
2021-11-22,12.149999618530273
2021-11-23,12.25
2021-11-24,12.399999618530273
2021-11-25,12.5
2021-11-26,11.949999809265137
2021-11-29,11.699999809265137
2021-11-30,11.699999809265137
2021-12-01,11.949999809265137
2021-12-02,14.300000190734863
2021-12-03,13.649999618530273
2021-12-06,14.899999618530273
2021-12-07,15.399999618530273
2021-12-08,17.799999237060547
2021-12-09,17.700000762939453
2021-12-10,17.600000381469727
2021-12-13,17.850000381469727
2021-12-14,17.899999618530273
2021-12-15,17.200000762939453
2021-12-16,16.5
2021-12-17,15.800000190734863
2021-12-20,14.949999809265137
2021-12-21,15.050000190734863
2021-12-22,16.149999618530273
2021-12-23,15.899999618530273
2021-12-24,15.550000190734863
2021-12-27,15.899999618530273
2021-12-28,17.399999618530273
2021-12-29,16.700000762939453
2021-12-30,16.149999618530273
